algorithm,function,dim,min,max,median,mean,std
DErand1bin1,Quad,10,1.1821096076814406,30.75441850463414,8.12400597413028,9.647493840389041,8.261393256226809
DErand1bin2,Quad,10,0.0008164996840065416,0.3624850688350274,0.050743037850381714,0.06911609211073481,0.07729455218012406
DErand1bin3,Quad,10,0.020685901286110902,7.232402588783832,1.1968828168123888,1.5355930997224265,1.4418834859598637
PSO,Quad,10,9.481306104559806,143.62136199392503,46.83718971178049,62.11754061641667,38.62363768522295
SOMA-ATA,Quad,10,0.9498100337405788,466.2767319246612,115.84827250233894,142.29981086777073,100.18570778788448
DErand1bin1,Sphere,10,2.1666870409396926,9.512345728747734,4.485371864321172,4.989291828449353,1.8233485356595407
DErand1bin2,Sphere,10,0.14723384507105094,0.8091172866135568,0.3961659095228962,0.4223060227816525,0.15773520650811196
DErand1bin3,Sphere,10,0.23444313822350757,3.753776128996282,2.0741542557612203,2.0443236190814167,0.8051187573583359
PSO,Sphere,10,9.08106020908319,24.198233050721722,15.9741086275488,16.53469067280236,3.7050055162919047
SOMA-ATA,Sphere,10,13.402274956964856,40.0529126851235,25.98938225378827,26.26672800764894,6.693230939687893
DErand1bin1,Quad,20,69.47456688734916,490.971864056373,212.6289122317407,234.5984503111025,104.78242877573904
DErand1bin2,Quad,20,7.62434695543376,54.805551271786804,21.262710580075296,23.816813890411392,12.392208710206106
DErand1bin3,Quad,20,42.77134033399196,194.12416894906522,111.91232639298363,107.46104401935995,38.76056272369961
PSO,Quad,20,79.2759314035752,436.437748003625,216.42635475438263,222.6878165350643,93.52757045348856
SOMA-ATA,Quad,20,285.666481373574,1057.362528397967,741.459224967502,734.6614483695679,177.082883341267
DErand1bin1,Sphere,20,20.912036416655848,61.91595316287774,40.318836067962465,38.55831059499646,11.565612444482136
DErand1bin2,Sphere,20,6.079502748255562,18.681009879787187,9.938001760060327,11.310281964185066,3.3717134155211106
DErand1bin3,Sphere,20,14.21533317900071,39.98616989364892,24.648390929842336,24.973080529543175,6.071272879840951
PSO,Sphere,20,27.38626366905466,60.93329426827526,43.23521520104826,43.480882383403035,7.949578047759273
SOMA-ATA,Sphere,20,57.21755293720001,111.18956971344086,84.63114391690934,81.6134677508769,13.527634276326538
DErand1bin1,Quad,30,127.33820892150882,1490.8352813201227,766.9190566259283,774.8210664056701,334.8898494001546
DErand1bin2,Quad,30,71.21291527565657,452.03115897575026,167.86247392177813,180.05660500227896,82.67181189828294
DErand1bin3,Quad,30,185.97711516782562,611.0805360773342,425.126441836881,401.2114996766793,118.79248575474855
PSO,Quad,30,143.8612817111498,889.2408320676789,488.9312063842038,486.0310986702115,159.52681881234665
SOMA-ATA,Quad,30,1042.9108029425709,2352.9908874002595,1438.2570131735008,1607.0706276701655,364.25947351756906
DErand1bin1,Sphere,30,53.36004982583213,127.47285355343912,84.28132880639004,86.10502862986581,20.814768023449716
DErand1bin2,Sphere,30,26.363491416501677,52.26610371485146,38.8606022789352,39.12394682455063,6.14556461116367
DErand1bin3,Sphere,30,48.004801061387724,87.07357636826058,63.394036658041614,65.24139590167184,10.143009704236135
PSO,Sphere,30,60.73628301092025,97.8460351007269,76.99894640358025,76.1074371453197,9.471687180550077
SOMA-ATA,Sphere,30,124.95601618676768,186.8777477393568,152.07973822243736,151.3241502633651,17.419812906156757
DErand1bin1,Quad,5,3.224869885408646e-05,0.008629567384819544,0.00026220616575181285,0.0012397956115367142,0.0020506274486941237
DErand1bin2,Quad,5,2.662143779602627e-09,3.895538126803824e-06,1.355289886844037e-07,3.2091772695570023e-07,6.913761069849553e-07
DErand1bin3,Quad,5,2.7627695851981233e-07,0.008089688619753583,4.019565518827621e-05,0.0004160734076447807,0.0014452506055594467
PSO,Quad,5,0.07448851070631543,55.455689298690274,4.564740564460289,8.944573393164514,11.084311972810456
SOMA-ATA,Quad,5,0.4483711169059549,65.07614549116855,13.529482301439884,17.581986423562856,16.586114498330076
DErand1bin1,Sphere,5,0.003233973773855958,0.057041016865336226,0.020040400490921935,0.02247284990839737,0.014179682753543593
DErand1bin2,Sphere,5,8.072013386664532e-05,0.004310697491916146,0.0005320420361826018,0.0007037925058437911,0.0007690661230172562
DErand1bin3,Sphere,5,0.0028234942681126655,0.10528253748984671,0.014129345301079475,0.02050520897884079,0.021156261793203446
PSO,Sphere,5,1.589562603900994,8.013751896858004,3.281277680206453,3.6896176436232717,1.5854694272455383
SOMA-ATA,Sphere,5,0.8884883677689664,10.822125737196638,5.645051487608436,5.658501972705343,2.884812883764192
DErand1bin1,Quad,50,737.8268610424997,5757.840930241763,3997.873215235334,3478.9224882210124,1498.6297927889807
DErand1bin2,Quad,50,659.9487573437226,1475.7156733483669,958.997233670933,984.4628250661632,214.7423862828374
DErand1bin3,Quad,50,811.9570319502602,1942.5076849394031,1330.5756830108862,1317.8432493510102,241.5486277845106
PSO,Quad,50,740.3631539244807,1633.1926228661519,1179.3709493296328,1180.4792853243348,234.33328549504313
SOMA-ATA,Quad,50,2388.91189017313,4788.975134515209,3297.796805616463,3280.6149508545486,538.7873851040302
DErand1bin1,Sphere,50,118.28477490787074,267.0013929089273,194.77803027254345,196.0233688158173,36.017085306548196
DErand1bin2,Sphere,50,94.2108626204204,151.81591872857254,117.13491935163799,119.0828348538208,14.569071861263227
DErand1bin3,Sphere,50,128.02202651459916,200.655097826681,163.12490366641038,163.7286682496452,15.3589803080562
PSO,Sphere,50,129.82953541054317,183.32582224440904,150.98569184274245,154.4112819802032,14.3006877790889
SOMA-ATA,Sphere,50,210.86014142247072,323.7431841246837,271.629270670289,270.09504568453144,29.27607616002875
